pantone_name,fixed_id,corel_palette_version,process,cmyk_c_percent,cmyk_m_percent,cmyk_y_percent,cmyk_k_percent,cmyk_corel_raw,lab_corel_raw,srgb_r_0_255,srgb_g_0_255,srgb_b_0_255,hex_from_corel_srgb,srgb_corel_raw,adobe_rgb_corel_raw,source_xml,source_file_timestamp
PANTONE Process Yellow C,1,1700,true,0.0,0.0,100.0,0.0,"0.0,0.0,1.0,0.0","0.9051,0.474588235294118,0.884156862745098",248,230,0,#F8E600,"0.972549019607843,0.901960784313726,0.0","0.949019607843137,0.898039215686275,0.0",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Process Magenta C,2,1700,true,0.0,100.0,0.0,0.0,"0.0,1.0,0.0,0.0","0.493,0.802745098039216,0.494078431372549",217,2,125,#D9027D,"0.850980392156863,0.00784313725490196,0.490196078431373","0.729411764705882,0.0352941176470588,0.47843137254902",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Process Cyan C,3,1700,true,100.0,0.0,0.0,0.0,"1.0,0.0,0.0,0.0","0.5864,0.353176470588235,0.313607843137255",0,163,224,#00A3E0,"0.0,0.63921568627451,0.87843137254902","0.0313725490196078,0.631372549019608,0.866666666666667",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Process Black C,4,1700,true,0.0,0.0,0.0,100.0,"0.0,0.0,0.0,1.0","0.1926,0.50443137254902,0.507843137254902",48,46,44,#302E2C,"0.188235294117647,0.180392156862745,0.172549019607843","0.2,0.196078431372549,0.188235294117647",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 100 CP,5,1700,true,1.0,0.0,70.0,0.0,"0.01,0.0,0.7,0.0","0.9209,0.475176470588235,0.746745098039216",246,235,105,#F6EB69,"0.964705882352941,0.92156862745098,0.411764705882353","0.952941176470588,0.917647058823529,0.447058823529412",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 101 CP,6,1700,true,1.0,0.0,78.0,0.0,"0.01,0.0,0.78,0.0","0.9185,0.474941176470588,0.762156862745098",246,234,95,#F6EA5F,"0.964705882352941,0.917647058823529,0.372549019607843","0.952941176470588,0.913725490196078,0.415686274509804",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 102 CP,7,1700,true,0.0,0.0,100.0,0.0,"0.0,0.0,1.0,0.0","0.9064,0.474117647058824,0.874941176470588",248,230,0,#F8E600,"0.972549019607843,0.901960784313726,0.0","0.952941176470588,0.898039215686275,0.105882352941176",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Yellow CP,8,1700,true,0.0,1.0,100.0,0.0,"0.0,0.01,1.0,0.0","0.895,0.481529411764706,0.872745098039216",247,226,0,#F7E200,"0.968627450980392,0.886274509803922,0.0","0.945098039215686,0.882352941176471,0.0941176470588235",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 103 CP,9,1700,true,0.0,8.0,100.0,19.0,"0.0,0.08,1.0,0.19","0.7139,0.515921568627451,0.809725490196079",204,171,0,#CCAB00,"0.8,0.670588235294118,0.0","0.76078431372549,0.662745098039216,0.0784313725490196",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 104 CP,10,1700,true,3.0,10.0,100.0,29.0,"0.03,0.1,1.0,0.29","0.6418,0.510666666666667,0.780313725490196",180,153,0,#B49900,"0.705882352941177,0.6,0.0","0.670588235294118,0.592156862745098,0.0862745098039216",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 105 CP,11,1700,true,15.0,20.0,93.0,42.0,"0.15,0.2,0.93,0.42","0.5192,0.509254901960784,0.679843137254902",141,122,39,#8D7A27,"0.552941176470588,0.47843137254902,0.152941176470588","0.529411764705882,0.474509803921569,0.196078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7401 CP,12,1700,true,0.0,4.0,38.0,0.0,"0.0,0.04,0.38,0.0","0.8976,0.504745098039216,0.632980392156863",243,224,161,#F3E0A1,"0.952941176470588,0.87843137254902,0.631372549019608","0.929411764705882,0.874509803921569,0.63921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7402 CP,13,1700,true,3.0,8.0,43.0,0.0,"0.03,0.08,0.43,0.0","0.8662,0.513294117647059,0.643686274509804",238,214,147,#EED693,"0.933333333333333,0.83921568627451,0.576470588235294","0.905882352941176,0.835294117647059,0.584313725490196",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7403 CP,14,1700,true,2.0,9.0,51.0,0.0,"0.02,0.09,0.51,0.0","0.857,0.520980392156863,0.673607843137255",241,210,130,#F1D282,"0.945098039215686,0.823529411764706,0.509803921568627","0.909803921568627,0.819607843137255,0.52156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7404 CP,15,1700,true,1.0,3.0,80.0,0.0,"0.01,0.03,0.8,0.0","0.8779,0.498352941176471,0.772549019607843",244,219,78,#F4DB4E,"0.956862745098039,0.858823529411765,0.305882352941176","0.929411764705882,0.854901960784314,0.352941176470588",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7405 CP,16,1700,true,0.0,8.0,100.0,1.0,"0.0,0.08,1.0,0.01","0.8403,0.515843137254902,0.848549019607843",243,205,0,#F3CD00,"0.952941176470588,0.803921568627451,0.0","0.909803921568627,0.8,0.12156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7406 CP,17,1700,true,0.0,13.0,100.0,1.0,"0.0,0.13,1.0,0.01","0.8185,0.52956862745098,0.845843137254902",241,197,0,#F1C500,"0.945098039215686,0.772549019607843,0.0","0.898039215686275,0.768627450980392,0.0941176470588235",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7407 CP,18,1700,true,8.0,29.0,71.0,9.0,"0.08,0.29,0.71,0.09","0.679,0.558588235294118,0.666235294117647",203,155,88,#CB9B58,"0.796078431372549,0.607843137254902,0.345098039215686","0.741176470588235,0.603921568627451,0.364705882352941",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 106 CP,19,1700,true,1.0,0.0,79.0,0.0,"0.01,0.0,0.79,0.0","0.9144,0.475411764705882,0.791411764705882",247,233,74,#F7E94A,"0.968627450980392,0.913725490196078,0.290196078431373","0.952941176470588,0.909803921568627,0.349019607843137",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 107 CP,20,1700,true,0.0,1.0,88.0,0.0,"0.0,0.01,0.88,0.0","0.8921,0.486156862745098,0.83843137254902",247,224,15,#F7E00F,"0.968627450980392,0.87843137254902,0.0588235294117647","0.941176470588235,0.87843137254902,0.219607843137255",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 108 CP,21,1700,true,0.0,2.0,99.0,0.0,"0.0,0.02,0.99,0.0","0.8748,0.495294117647059,0.882117647058824",247,218,0,#F7DA00,"0.968627450980392,0.854901960784314,0.0","0.937254901960784,0.850980392156863,0.0",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 109 CP,22,1700,true,0.0,5.0,100.0,0.0,"0.0,0.05,1.0,0.0","0.8428,0.515803921568627,0.885960784313726",245,206,0,#F5CE00,"0.96078431372549,0.807843137254902,0.0","0.917647058823529,0.8,0.0",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 110 CP,23,1700,true,0.0,20.0,100.0,8.0,"0.0,0.2,1.0,0.08","0.7372,0.556627450980392,0.837529411764706",226,170,0,#E2AA00,"0.886274509803922,0.666666666666667,0.0","0.827450980392157,0.662745098039216,0.0",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 111 CP,24,1700,true,0.0,17.0,100.0,33.0,"0.0,0.17,1.0,0.33","0.6149,0.539764705882353,0.781254901960784",182,141,0,#B68D00,"0.713725490196078,0.552941176470588,0.0","0.666666666666667,0.549019607843137,0.0274509803921569",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 112 CP,25,1700,true,3.0,18.0,100.0,38.0,"0.03,0.18,1.0,0.38","0.564,0.527960784313726,0.74",162,130,0,#A28200,"0.635294117647059,0.509803921568627,0.0","0.6,0.505882352941176,0.117647058823529",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 113 CP,26,1700,true,0.0,1.0,74.0,0.0,"0.0,0.01,0.74,0.0","0.8955,0.490549019607843,0.745960784313725",245,225,99,#F5E163,"0.96078431372549,0.882352941176471,0.388235294117647","0.937254901960784,0.87843137254902,0.423529411764706",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 114 CP,27,1700,true,0.0,2.0,80.0,0.0,"0.0,0.02,0.8,0.0","0.8876,0.493686274509804,0.762274509803922",245,222,87,#F5DE57,"0.96078431372549,0.870588235294118,0.341176470588235","0.933333333333333,0.866666666666667,0.384313725490196",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 115 CP,28,1700,true,0.0,4.0,88.0,0.0,"0.0,0.04,0.88,0.0","0.8755,0.498156862745098,0.78721568627451",244,218,67,#F4DA43,"0.956862745098039,0.854901960784314,0.262745098039216","0.929411764705882,0.850980392156863,0.32156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 116 CP,29,1700,true,0.0,10.0,98.0,0.0,"0.0,0.1,0.98,0.0","0.8419,0.516156862745098,0.817137254901961",242,206,27,#F2CE1B,"0.949019607843137,0.807843137254902,0.105882352941176","0.909803921568627,0.803921568627451,0.219607843137255",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 117 CP,30,1700,true,0.0,26.0,100.0,15.0,"0.0,0.26,1.0,0.15","0.6801,0.556,0.782901960784314",207,156,0,#CF9C00,"0.811764705882353,0.611764705882353,0.0","0.756862745098039,0.603921568627451,0.133333333333333",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 118 CP,31,1700,true,0.0,26.0,100.0,31.0,"0.0,0.26,1.0,0.31","0.6063,0.550588235294118,0.754627450980392",183,137,1,#B78901,"0.717647058823529,0.537254901960784,0.00392156862745098","0.666666666666667,0.533333333333333,0.125490196078431",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 119 CP,32,1700,true,11.0,24.0,96.0,45.0,"0.11,0.24,0.96,0.45","0.5216,0.517764705882353,0.674901960784314",144,121,43,#90792B,"0.564705882352941,0.474509803921569,0.168627450980392","0.537254901960784,0.474509803921569,0.207843137254902",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 127 CP,33,1700,true,0.0,3.0,63.0,0.0,"0.0,0.03,0.63,0.0","0.8926,0.497764705882353,0.694627450980392",243,224,127,#F3E07F,"0.952941176470588,0.87843137254902,0.498039215686275","0.929411764705882,0.874509803921569,0.517647058823529",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 128 CP,34,1700,true,0.0,7.0,75.0,0.0,"0.0,0.07,0.75,0.0","0.8676,0.509137254901961,0.719411764705882",242,215,107,#F2D76B,"0.949019607843137,0.843137254901961,0.419607843137255","0.917647058823529,0.835294117647059,0.447058823529412",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 129 CP,35,1700,true,0.0,10.0,80.0,0.0,"0.0,0.1,0.8,0.0","0.8553,0.514196078431373,0.74121568627451",242,210,92,#F2D25C,"0.949019607843137,0.823529411764706,0.36078431372549","0.913725490196078,0.819607843137255,0.392156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 130 CP,36,1700,true,0.0,32.0,100.0,0.0,"0.0,0.32,1.0,0.0","0.7413,0.582392156862745,0.795960784313726",235,167,14,#EBA70E,"0.92156862745098,0.654901960784314,0.0549019607843137","0.854901960784314,0.650980392156863,0.168627450980392",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 131 CP,37,1700,true,0.0,39.0,100.0,11.0,"0.0,0.39,1.0,0.11","0.6528,0.592196078431373,0.765137254901961",211,142,16,#D38E10,"0.827450980392157,0.556862745098039,0.0627450980392157","0.756862745098039,0.552941176470588,0.152941176470588",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 132 CP,38,1700,true,0.0,34.0,100.0,36.0,"0.0,0.34,1.0,0.36","0.5612,0.560509803921569,0.728588235294118",172,124,18,#AC7C12,"0.674509803921569,0.486274509803922,0.0705882352941176","0.623529411764706,0.482352941176471,0.145098039215686",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 133 CP,39,1700,true,12.0,33.0,98.0,60.0,"0.12,0.33,0.98,0.6","0.4254,0.521333333333333,0.641294117647059",118,97,38,#766126,"0.462745098039216,0.380392156862745,0.149019607843137","0.43921568627451,0.380392156862745,0.184313725490196",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1205 CP,40,1700,true,0.0,4.0,48.0,0.0,"0.0,0.04,0.48,0.0","0.8931,0.500588235294118,0.676980392156863",243,223,137,#F3DF89,"0.952941176470588,0.874509803921569,0.537254901960784","0.929411764705882,0.870588235294118,0.552941176470588",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1215 CP,41,1700,true,0.0,7.0,61.0,0.0,"0.0,0.07,0.61,0.0","0.8628,0.51278431372549,0.721058823529412",243,213,106,#F3D56A,"0.952941176470588,0.835294117647059,0.415686274509804","0.917647058823529,0.827450980392157,0.43921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1225 CP,42,1700,true,0.0,16.0,80.0,0.0,"0.0,0.16,0.8,0.0","0.8165,0.536117647058824,0.771647058823529",240,196,63,#F0C43F,"0.941176470588235,0.768627450980392,0.247058823529412","0.894117647058824,0.76078431372549,0.298039215686275",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1235 CP,43,1700,true,0.0,25.0,94.0,0.0,"0.0,0.25,0.94,0.0","0.7657,0.567294117647059,0.806156862745098",238,176,7,#EEB007,"0.933333333333333,0.690196078431373,0.0274509803921569","0.870588235294118,0.686274509803922,0.168627450980392",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1245 CP,44,1700,true,2.0,31.0,98.0,16.0,"0.02,0.31,0.98,0.16","0.6497,0.570392156862745,0.756470588235294",202,145,23,#CA9117,"0.792156862745098,0.568627450980392,0.0901960784313725","0.733333333333333,0.564705882352941,0.168627450980392",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1255 CP,45,1700,true,3.0,30.0,95.0,29.0,"0.03,0.3,0.95,0.29","0.596,0.554509803921569,0.724666666666667",180,134,33,#B48621,"0.705882352941177,0.525490196078431,0.129411764705882","0.654901960784314,0.52156862745098,0.184313725490196",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 1265 CP,46,1700,true,10.0,32.0,92.0,45.0,"0.1,0.32,0.92,0.45","0.5017,0.539450980392157,0.672862745098039",146,113,40,#927128,"0.572549019607843,0.443137254901961,0.156862745098039","0.537254901960784,0.43921568627451,0.196078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 120 CP,47,1700,true,0.0,5.0,66.0,0.0,"0.0,0.05,0.66,0.0","0.8758,0.504039215686275,0.725254901960784",243,218,106,#F3DA6A,"0.952941176470588,0.854901960784314,0.415686274509804","0.925490196078431,0.850980392156863,0.443137254901961",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 121 CP,48,1700,true,0.0,6.0,72.0,0.0,"0.0,0.06,0.72,0.0","0.8667,0.508745098039216,0.733725490196078",243,214,99,#F3D663,"0.952941176470588,0.83921568627451,0.388235294117647","0.92156862745098,0.835294117647059,0.419607843137255",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 122 CP,49,1700,true,0.0,9.0,80.0,0.0,"0.0,0.09,0.8,0.0","0.8471,0.51878431372549,0.746156862745098",242,207,87,#F2CF57,"0.949019607843137,0.811764705882353,0.341176470588235","0.909803921568627,0.807843137254902,0.376470588235294",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 123 CP,50,1700,true,0.0,16.0,89.0,0.0,"0.0,0.16,0.89,0.0","0.8069,0.541607843137255,0.76443137254902",239,192,65,#EFC041,"0.937254901960784,0.752941176470588,0.254901960784314","0.886274509803922,0.749019607843137,0.301960784313725",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 124 CP,51,1700,true,0.0,29.0,100.0,1.0,"0.0,0.29,1.0,0.01","0.7413,0.582156862745098,0.80556862745098",235,167,0,#EBA700,"0.92156862745098,0.654901960784314,0.0","0.854901960784314,0.650980392156863,0.145098039215686",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 125 CP,52,1700,true,0.0,31.0,100.0,25.0,"0.0,0.31,1.0,0.25","0.604,0.568901960784314,0.757960784313725",188,133,0,#BC8500,"0.737254901960784,0.52156862745098,0.0","0.682352941176471,0.517647058823529,0.117647058823529",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 126 CP,53,1700,true,0.0,30.0,100.0,40.0,"0.0,0.3,1.0,0.4","0.5445,0.548980392156863,0.725490196078431",164,122,13,#A47A0D,"0.643137254901961,0.47843137254902,0.0509803921568627","0.596078431372549,0.474509803921569,0.133333333333333",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7548 CP,54,1700,true,0.0,11.0,100.0,0.0,"0.0,0.11,1.0,0.0","0.8314,0.521607843137255,0.835372549019608",242,202,0,#F2CA00,"0.949019607843137,0.792156862745098,0.0","0.905882352941176,0.788235294117647,0.156862745098039",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7549 CP,55,1700,true,0.0,22.0,100.0,0.0,"0.0,0.22,1.0,0.0","0.7832,0.553686274509804,0.809843137254902",238,184,8,#EEB808,"0.933333333333333,0.72156862745098,0.0313725490196078","0.87843137254902,0.713725490196078,0.176470588235294",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7550 CP,56,1700,true,0.0,36.0,100.0,10.0,"0.0,0.36,1.0,0.1","0.6755,0.583411764705882,0.769450980392157",215,149,20,#D79514,"0.843137254901961,0.584313725490196,0.0784313725490196","0.776470588235294,0.580392156862745,0.164705882352941",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7551 CP,57,1700,true,0.0,36.0,100.0,26.0,"0.0,0.36,1.0,0.26","0.5891,0.578470588235294,0.744156862745098",187,128,13,#BB800D,"0.733333333333333,0.501960784313725,0.0509803921568627","0.670588235294118,0.498039215686275,0.137254901960784",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7552 CP,58,1700,true,7.0,42.0,100.0,58.0,"0.07,0.42,1.0,0.58","0.4024,0.547607843137255,0.649803921568627",121,87,29,#79571D,"0.474509803921569,0.341176470588235,0.113725490196078","0.43921568627451,0.345098039215686,0.152941176470588",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7553 CP,59,1700,true,19.0,46.0,91.0,67.0,"0.19,0.46,0.91,0.67","0.3422,0.531803921568628,0.611019607843137",99,76,35,#634C23,"0.388235294117647,0.298039215686275,0.137254901960784","0.364705882352941,0.301960784313725,0.164705882352941",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7554 CP,60,1700,true,40.0,53.0,79.0,68.0,"0.4,0.53,0.79,0.68","0.3005,0.531450980392157,0.56121568627451",86,67,47,#56432F,"0.337254901960784,0.262745098039216,0.184313725490196","0.32156862745098,0.270588235294118,0.2",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7555 CP,61,1700,true,2.0,28.0,97.0,12.0,"0.02,0.28,0.97,0.12","0.6891,0.562196078431373,0.744980392156863",211,157,45,#D39D2D,"0.827450980392157,0.615686274509804,0.176470588235294","0.768627450980392,0.611764705882353,0.231372549019608",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7556 CP,62,1700,true,4.0,30.0,95.0,24.0,"0.04,0.3,0.95,0.24","0.6148,0.558509803921569,0.704156862745098",186,138,52,#BA8A34,"0.729411764705882,0.541176470588235,0.203921568627451","0.67843137254902,0.537254901960784,0.23921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7557 CP,63,1700,true,7.0,30.0,93.0,34.0,"0.07,0.3,0.93,0.34","0.5639,0.545294117647059,0.675647058823529",166,128,54,#A68036,"0.650980392156863,0.501960784313725,0.211764705882353","0.607843137254902,0.498039215686275,0.243137254901961",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7558 CP,64,1700,true,8.0,35.0,92.0,38.0,"0.08,0.35,0.92,0.38","0.5314,0.553372549019608,0.658549019607843",159,118,56,#9F7638,"0.623529411764706,0.462745098039216,0.219607843137255","0.576470588235294,0.458823529411765,0.243137254901961",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7559 CP,65,1700,true,10.0,40.0,88.0,40.0,"0.1,0.4,0.88,0.4","0.5027,0.557843137254902,0.646156862745098",152,110,55,#986E37,"0.596078431372549,0.431372549019608,0.215686274509804","0.549019607843137,0.431372549019608,0.23921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7560 CP,66,1700,true,17.0,39.0,84.0,46.0,"0.17,0.39,0.84,0.46","0.4478,0.539058823529412,0.616745098039216",129,100,56,#816438,"0.505882352941176,0.392156862745098,0.219607843137255","0.474509803921569,0.392156862745098,0.23921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7561 CP,67,1700,true,29.0,38.0,79.0,49.0,"0.29,0.38,0.79,0.49","0.3967,0.52078431372549,0.588470588235294",107,91,57,#6B5B39,"0.419607843137255,0.356862745098039,0.223529411764706","0.403921568627451,0.356862745098039,0.23921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 134 CP,68,1700,true,0.0,11.0,62.0,0.0,"0.0,0.11,0.62,0.0","0.8398,0.526588235294118,0.713529411764706",241,204,104,#F1CC68,"0.945098039215686,0.8,0.407843137254902","0.901960784313726,0.796078431372549,0.431372549019608",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 135 CP,69,1700,true,0.0,18.0,72.0,0.0,"0.0,0.18,0.72,0.0","0.8051,0.545019607843137,0.742901960784314",239,191,78,#EFBF4E,"0.937254901960784,0.749019607843137,0.305882352941176","0.886274509803922,0.745098039215686,0.345098039215686",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 136 CP,70,1700,true,0.0,22.0,83.0,0.0,"0.0,0.22,0.83,0.0","0.7824,0.557450980392157,0.771137254901961",238,183,54,#EEB736,"0.933333333333333,0.717647058823529,0.211764705882353","0.874509803921569,0.709803921568627,0.266666666666667",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 137 CP,71,1700,true,0.0,36.0,100.0,0.0,"0.0,0.36,1.0,0.0","0.7094,0.605294117647059,0.800901960784314",234,154,0,#EA9A00,"0.917647058823529,0.603921568627451,0.0","0.83921568627451,0.6,0.12156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 138 CP,72,1700,true,0.0,54.0,100.0,1.0,"0.0,0.54,1.0,0.01","0.6275,0.656509803921569,0.769803921568628",224,121,7,#E07907,"0.87843137254902,0.474509803921569,0.0274509803921569","0.788235294117647,0.474509803921569,0.12156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 139 CP,73,1700,true,0.0,48.0,100.0,26.0,"0.0,0.48,1.0,0.26","0.5312,0.60878431372549,0.734274509803922",180,107,4,#B46B04,"0.705882352941177,0.419607843137255,0.0156862745098039","0.635294117647059,0.419607843137255,0.105882352941176",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
