pantone_name,fixed_id,corel_palette_version,process,cmyk_c_percent,cmyk_m_percent,cmyk_y_percent,cmyk_k_percent,cmyk_corel_raw,lab_corel_raw,srgb_r_0_255,srgb_g_0_255,srgb_b_0_255,hex_from_corel_srgb,srgb_corel_raw,adobe_rgb_corel_raw,source_xml,source_file_timestamp
PANTONE 5225 CP,497,1700,true,18.0,27.0,7.0,0.0,"0.18,0.27,0.07,0.0","0.7453,0.543254901960784,0.501098039215686",200,177,184,#C8B1B8,"0.784313725490196,0.694117647058824,0.72156862745098","0.756862745098039,0.690196078431373,0.713725490196078",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 5215 CP,498,1700,true,27.0,38.0,12.0,3.0,"0.27,0.38,0.12,0.03","0.6564,0.555254901960784,0.492117647058823",179,152,164,#B398A4,"0.701960784313725,0.596078431372549,0.643137254901961","0.666666666666667,0.588235294117647,0.635294117647059",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 5205 CP,499,1700,true,41.0,58.0,21.0,16.0,"0.41,0.58,0.21,0.16","0.4984,0.570392156862745,0.489960784313725",143,108,124,#8F6C7C,"0.56078431372549,0.423529411764706,0.486274509803922","0.52156862745098,0.423529411764706,0.482352941176471",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 5195 CP,500,1700,true,50.0,73.0,26.0,35.0,"0.5,0.73,0.26,0.35","0.3783,0.575686274509804,0.489607843137255",114,78,95,#724E5F,"0.447058823529412,0.305882352941176,0.372549019607843","0.411764705882353,0.309803921568627,0.368627450980392",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 5185 CP,501,1700,true,57.0,82.0,30.0,59.0,"0.57,0.82,0.3,0.59","0.2802,0.557294117647059,0.491843137254902",83,59,70,#533B46,"0.325490196078431,0.231372549019608,0.274509803921569","0.305882352941176,0.23921568627451,0.282352941176471",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 524 CP,488,1700,true,11.0,21.0,0.0,0.0,"0.11,0.21,0.0,0.0","0.7857,0.546941176470588,0.472666666666667",209,188,208,#D1BCD0,"0.819607843137255,0.737254901960784,0.815686274509804","0.792156862745098,0.729411764705882,0.807843137254902",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 523 CP,489,1700,true,16.0,30.0,0.0,0.0,"0.16,0.3,0.0,0.0","0.7364,0.561803921568627,0.453529411764706",199,172,204,#C7ACCC,"0.780392156862745,0.674509803921569,0.8","0.745098039215686,0.670588235294118,0.788235294117647",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 522 CP,490,1700,true,24.0,40.0,0.0,0.0,"0.24,0.4,0.0,0.0","0.6672,0.572549019607843,0.435960784313725",181,152,193,#B598C1,"0.709803921568627,0.596078431372549,0.756862745098039","0.674509803921569,0.592156862745098,0.745098039215686",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 521 CP,491,1700,true,35.0,54.0,0.0,0.0,"0.35,0.54,0.0,0.0","0.5788,0.593607843137255,0.418901960784314",163,125,177,#A37DB1,"0.63921568627451,0.490196078431373,0.694117647058824","0.596078431372549,0.486274509803922,0.67843137254902",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 520 CP,492,1700,true,63.0,99.0,0.0,20.0,"0.63,0.99,0.0,0.2","0.3075,0.625372549019608,0.400666666666667",102,52,114,#663472,"0.4,0.203921568627451,0.447058823529412","0.356862745098039,0.215686274509804,0.435294117647059",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 519 CP,493,1700,true,62.0,92.0,6.0,34.0,"0.62,0.92,0.06,0.34","0.3004,0.591019607843137,0.425294117647059",92,58,102,#5C3A66,"0.36078431372549,0.227450980392157,0.4","0.329411764705882,0.235294117647059,0.392156862745098",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 518 CP,494,1700,true,60.0,84.0,22.0,54.0,"0.6,0.84,0.22,0.54","0.2682,0.562470588235294,0.456470588235294",78,55,81,#4E3751,"0.305882352941176,0.215686274509804,0.317647058823529","0.290196078431373,0.227450980392157,0.317647058823529",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7436 CP,467,1700,true,2.0,12.0,0.0,0.0,"0.02,0.12,0.0,0.0","0.8838,0.545843137254902,0.492313725490196",240,215,227,#F0D7E3,"0.941176470588235,0.843137254901961,0.890196078431372","0.909803921568627,0.83921568627451,0.882352941176471",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
